part_number,description,color_code,color_name,quantity,image_file
x77cc250,String Cord Medium Thickness 250cm,0,Black,1,x77cc250_Black.png
x77cc400,String Cord Medium Thickness 400cm,0,Black,1,x77cc400_Black.png
11458,Plate 1 x 2 with Offset Peghole,4,Red,4,11458_Red.png
11476,Plate 1 x 2 with Clip Horizontal on Side (Thick C-Clip),15,White,16,11476_White.png
10928,Technic Gear 8 Tooth Reinforced,8,Dark Gray,5,10928_Dark_Gray.png
14769,Tile 2 x 2 Round with Round Underside Stud,15,White,1,14769_White.png
15462,Technic Axle 5 with Stop,6,Brown,2,15462_Brown.png
15573,Plate 1 x 2 with Groove with 1 Centre Stud,1,Blue,19,15573_Blue.png
15573,Plate 1 x 2 with Groove with 1 Centre Stud,4,Red,6,15573_Red.png
2412b,Tile 1 x 2 Grille with Groove,1,Blue,12,2412b_Blue.png
2412b,Tile 1 x 2 Grille with Groove,4,Red,4,2412b_Red.png
2412b,Tile 1 x 2 Grille with Groove,14,Yellow,14,2412b_Yellow.png
2420,Plate 2 x 2 Corner,1,Blue,14,2420_Blue.png
2420,Plate 2 x 2 Corner,4,Red,4,2420_Red.png
2420,Plate 2 x 2 Corner,7,Light Gray,2,2420_Light_Gray.png
2420,Plate 2 x 2 Corner,14,Yellow,4,2420_Yellow.png
24201,Slope Brick Curved 2 x 1 Inverted,7,Light Gray,6,24201_Light_Gray.png
2429,Hinge Plate 1 x 4 Base,1,Blue,14,2429_Blue.png
2429,Hinge Plate 1 x 4 Base,4,Red,8,2429_Red.png
2429,Hinge Plate 1 x 4 Base,14,Yellow,8,2429_Yellow.png
2430,Hinge Plate 1 x 4 Top,1,Blue,14,2430_Blue.png
2430,Hinge Plate 1 x 4 Top,4,Red,8,2430_Red.png
2430,Hinge Plate 1 x 4 Top,14,Yellow,8,2430_Yellow.png
2431,Tile 1 x 4 with Groove,1,Blue,24,2431_Blue.png
2431,Tile 1 x 4 with Groove,4,Red,8,2431_Red.png
2431,Tile 1 x 4 with Groove,7,Light Gray,2,2431_Light_Gray.png
2431,Tile 1 x 4 with Groove,14,Yellow,9,2431_Yellow.png
2431,Tile 1 x 4 with Groove,15,White,12,2431_White.png
24316,Technic Axle 3 with Stop,6,Brown,10,24316_Brown.png
2436,Bracket 1 x 2 - 1 x 4 with Rounded Corners,0,Black,84,2436_Black.png
2436,Bracket 1 x 2 - 1 x 4 with Rounded Corners,4,Red,3,2436_Red.png
2436,Bracket 1 x 2 - 1 x 4 with Rounded Corners,14,Yellow,2,2436_Yellow.png
2444,Plate 2 x 2 with Hole and Split Underside Ribs,14,Yellow,32,2444_Yellow.png
2444,Plate 2 x 2 with Hole and Split Underside Ribs,15,White,12,2444_White.png
2450,Plate 3 x 3 without Corner,4,Red,10,2450_Red.png
2454,Brick 1 x 2 x 5,4,Red,4,2454_Red.png
2465,Brick 1 x 16,15,White,4,2465_White.png
2486,Bar 1 x 8 x 2,4,Red,2,2486_Red.png
2486,Bar 1 x 8 x 2,14,Yellow,7,2486_Yellow.png
2508,Plate 1 x 2 with 3L Extension and Towball,14,Yellow,1,2508_Yellow.png
2508,Plate 1 x 2 with 3L Extension and Towball,15,White,2,2508_White.png
2540,Plate 1 x 2 with Handle,4,Red,2,2540_Red.png
2540,Plate 1 x 2 with Handle,8,Dark Gray,20,2540_Dark_Gray.png
2540,Plate 1 x 2 with Handle,14,Yellow,20,2540_Yellow.png
2654,Dish 2 x 2,1,Blue,8,2654_Blue.png
2654,Dish 2 x 2,4,Red,6,2654_Red.png
2654,Dish 2 x 2,15,White,1,2654_White.png
2780,Technic Pin with Friction and Slots,0,Black,22,2780_Black.png
2825,Technic Beam 4 x 0.5 Liftarm with Boss,15,White,4,2825_White.png
2926,Plate 1 x 4 with 2 Wheel Pins,0,Black,26,2926_Black.png
3001,Brick 2 x 4,1,Blue,6,3001_Blue.png
3001,Brick 2 x 4,15,White,3,3001_White.png
3002,Brick 2 x 3,1,Blue,10,3002_Blue.png
3003,Brick 2 x 2,1,Blue,16,3003_Blue.png
3003,Brick 2 x 2,4,Red,1,3003_Red.png
3004,Brick 1 x 2,1,Blue,38,3004_Blue.png
3004,Brick 1 x 2,4,Red,6,3004_Red.png
3005,Brick 1 x 1,15,White,2,3005_White.png
3009,Brick 1 x 6,1,Blue,116,3009_Blue.png
3009,Brick 1 x 6,4,Red,4,3009_Red.png
3009,Brick 1 x 6,14,Yellow,4,3009_Yellow.png
3009,Brick 1 x 6,15,White,11,3009_White.png
3010,Brick 1 x 4,1,Blue,64,3010_Blue.png
3010,Brick 1 x 4,4,Red,20,3010_Red.png
3010,Brick 1 x 4,7,Light Gray,1,3010_Light_Gray.png
3010,Brick 1 x 4,14,Yellow,10,3010_Yellow.png
3010,Brick 1 x 4,15,White,19,3010_White.png
30162,Minifig Binoculars with Round Eyepiece,8,Dark Gray,6,30162_Dark_Gray.png
3020,Plate 2 x 4,0,Black,17,3020_Black.png
3020,Plate 2 x 4,1,Blue,207,3020_Blue.png
3020,Plate 2 x 4,4,Red,16,3020_Red.png
3020,Plate 2 x 4,7,Light Gray,7,3020_Light_Gray.png
3020,Plate 2 x 4,14,Yellow,71,3020_Yellow.png
3020,Plate 2 x 4,15,White,53,3020_White.png
3021,Plate 2 x 3,0,Black,1,3021_Black.png
3021,Plate 2 x 3,1,Blue,30,3021_Blue.png
3021,Plate 2 x 3,4,Red,10,3021_Red.png
3021,Plate 2 x 3,7,Light Gray,3,3021_Light_Gray.png
3021,Plate 2 x 3,14,Yellow,8,3021_Yellow.png
3022,Plate 2 x 2,0,Black,26,3022_Black.png
3022,Plate 2 x 2,1,Blue,8,3022_Blue.png
3022,Plate 2 x 2,4,Red,2,3022_Red.png
3022,Plate 2 x 2,7,Light Gray,1,3022_Light_Gray.png
3022,Plate 2 x 2,14,Yellow,29,3022_Yellow.png
3022,Plate 2 x 2,15,White,8,3022_White.png
3022,Plate 2 x 2,19,Tan,2,3022_Tan.png
3023,Plate 1 x 2,0,Black,12,3023_Black.png
